x(cm), y(cm), time_interval(s)
160.7, 149.9, 4.3
171.4, 149.5, 0.6
182.0, 148.9, 0.5
192.7, 148.2, 0.4
203.3, 147.3, 0.4
214.0, 146.3, 0.4
224.6, 145.3, 0.3
235.2, 144.2, 0.3
245.8, 143.2, 0.3
256.5, 142.3, 0.4
267.2, 141.7, 0.3
277.8, 141.2, 0.4
288.5, 140.9, 0.4
299.2, 140.2, 6.2
309.6, 138.0, 0.5
319.4, 133.8, 0.3
328.3, 127.8, 0.3
335.7, 120.1, 0.6
341.4, 111.1, 0.6
345.2, 101.1, 0.5
346.9, 90.5, 0.4
346.6, 79.9, 0.4
344.1, 69.5, 0.4
339.6, 59.8, 0.3
333.3, 51.2, 0.4
325.3, 44.1, 0.4
316.1, 38.7, 0.5
306.0, 35.0, 0.5
295.7, 32.4, 0.4
285.2, 30.4, 0.5
274.6, 28.9, 0.6
264.0, 27.6, 0.6
253.4, 26.5, 0.5
242.7, 25.9, 0.4
232.1, 26.0, 0.4
221.4, 26.6, 0.3
210.8, 27.6, 0.4
200.2, 29.0, 0.4
189.6, 30.7, 0.6
